"InstTerm","ADCClsTerm","InstDataPoint","Class","ADCClsID","Course","ADCClsShortTitle","ADCClsPrefix","ADCClsNumber","ADCClsSection","ADCClsStartDate","ADCClsEndDate","ADCClsCurrentStatus","ADCClsIMethod","ADCClsCUCredits","ADCClsCEUnits","ADCClsCapacity","ADCClsActiveStuCt","ClsAvailSeats","ADCClsAcadLevel","ADCClsFTEContactHrs","ADCClsFTEStuCt","ADCClsTotalFTE","ADCClsMeetDays01","ADCClsMeetDays02","ADCClsMeetDays03","ADCClsMeetDays04","ADCClsMeetDays05","ADCClsMeetDays06","ADCClsMeetDays07","ADCClsMeetDays08","ADCClsMeetDays09","ADCClsMeetDays10","ADCClsMeetDays11","ADCClsMeetDays12","ADCClsMeetDays13","ADCClsMeetDays14","ADCClsMeetDays15","ADCClsMeetDays16","ADCClsMeetDays17","ADCClsMeetDays18","ADCClsMeetDays19","ADCClsMeetDays20","ADCClsMeetDays21","ADCClsMeetDays22","ADCClsMeetDays23","ADCClsMeetDays24","ADCClsMeetDays25","ADCClsMeetDays26","ADCClsMeetDays27","ADCClsMeetDays28","ADCClsMeetDays29","ADCClsMeetDays30","ADCClsMeetDays31","ADCClsMeetDays32","ADCClsMeetDays33","ADCClsMeetDays34","ADCClsMeetDays35","ADCClsMeetDays36","ADCClsMeetDays37","ADCClsMeetDays38","ADCClsMeetDays39","ADCClsMeetDays40","ADCClsStartTime01","ADCClsStartTime02","ADCClsStartTime03","ADCClsStartTime04","ADCClsStartTime05","ADCClsStartTime06","ADCClsStartTime07","ADCClsStartTime08","ADCClsStartTime09","ADCClsStartTime10","ADCClsStartTime11","ADCClsStartTime12","ADCClsStartTime13","ADCClsStartTime14","ADCClsStartTime15","ADCClsStartTime16","ADCClsStartTime17","ADCClsStartTime18","ADCClsStartTime19","ADCClsStartTime20","ADCClsStartTime21","ADCClsStartTime22","ADCClsStartTime23","ADCClsStartTime24","ADCClsStartTime25","ADCClsStartTime26","ADCClsStartTime27","ADCClsStartTime28","ADCClsStartTime29","ADCClsStartTime30","ADCClsStartTime31","ADCClsStartTime32","ADCClsStartTime33","ADCClsStartTime34","ADCClsStartTime35","ADCClsStartTime36","ADCClsStartTime37","ADCClsStartTime38","ADCClsStartTime39","ADCClsStartTime40","ADCClsEndTime01","ADCClsEndTime02","ADCClsEndTime03","ADCClsEndTime04","ADCClsEndTime05","ADCClsEndTime06","ADCClsEndTime07","ADCClsEndTime08","ADCClsEndTime09","ADCClsEndTime10","ADCClsEndTime11","ADCClsEndTime12","ADCClsEndTime13","ADCClsEndTime14","ADCClsEndTime15","ADCClsEndTime16","ADCClsEndTime17","ADCClsEndTime18","ADCClsEndTime19","ADCClsEndTime20","ADCClsEndTime21","ADCClsEndTime22","ADCClsEndTime23","ADCClsEndTime24","ADCClsEndTime25","ADCClsEndTime26","ADCClsEndTime27","ADCClsEndTime28","ADCClsEndTime29","ADCClsEndTime30","ADCClsEndTime31","ADCClsEndTime32","ADCClsEndTime33","ADCClsEndTime34","ADCClsEndTime35","ADCClsEndTime36","ADCClsEndTime37","ADCClsEndTime38","ADCClsEndTime39","ADCClsEndTime40","ADCClsCampus01","ADCClsCampus02","ADCClsCampus03","ADCClsCampus04","ADCClsCampus05","ADCClsCampus06","ADCClsCampus07","ADCClsCampus08","ADCClsCampus09","ADCClsCampus10","ADCClsCampus11","ADCClsCampus12","ADCClsCampus13","ADCClsCampus14","ADCClsCampus15","ADCClsCampus16","ADCClsCampus17","ADCClsCampus18","ADCClsCampus19","ADCClsCampus20","ADCClsCampus21","ADCClsCampus22","ADCClsCampus23","ADCClsCampus24","ADCClsCampus25","ADCClsCampus26","ADCClsCampus27","ADCClsCampus28","ADCClsCampus29","ADCClsCampus30","ADCClsCampus31","ADCClsCampus32","ADCClsCampus33","ADCClsCampus34","ADCClsCampus35","ADCClsCampus36","ADCClsCampus37","ADCClsCampus38","ADCClsCampus39","ADCClsCampus40","ADCClsBldg01","ADCClsBldg02","ADCClsBldg03","ADCClsBldg04","ADCClsBldg05","ADCClsBldg06","ADCClsBldg07","ADCClsBldg08","ADCClsBldg09","ADCClsBldg10","ADCClsBldg11","ADCClsBldg12","ADCClsBldg13","ADCClsBldg14","ADCClsBldg15","ADCClsBldg16","ADCClsBldg17","ADCClsBldg18","ADCClsBldg19","ADCClsBldg20","ADCClsBldg21","ADCClsBldg22","ADCClsBldg23","ADCClsBldg24","ADCClsBldg25","ADCClsBldg26","ADCClsBldg27","ADCClsBldg28","ADCClsBldg29","ADCClsBldg30","ADCClsBldg31","ADCClsBldg32","ADCClsBldg33","ADCClsBldg34","ADCClsBldg35","ADCClsBldg36","ADCClsBldg37","ADCClsBldg38","ADCClsBldg39","ADCClsBldg40","ADCClsRoom01","ADCClsRoom02","ADCClsRoom03","ADCClsRoom04","ADCClsRoom05","ADCClsRoom06","ADCClsRoom07","ADCClsRoom08","ADCClsRoom09","ADCClsRoom10","ADCClsRoom11","ADCClsRoom12","ADCClsRoom13","ADCClsRoom14","ADCClsRoom15","ADCClsRoom16","ADCClsRoom17","ADCClsRoom18","ADCClsRoom19","ADCClsRoom20","ADCClsRoom21","ADCClsRoom22","ADCClsRoom23","ADCClsRoom24","ADCClsRoom25","ADCClsRoom26","ADCClsRoom27","ADCClsRoom28","ADCClsRoom29","ADCClsRoom30","ADCClsRoom31","ADCClsRoom32","ADCClsRoom33","ADCClsRoom34","ADCClsRoom35","ADCClsRoom36","ADCClsRoom37","ADCClsRoom38","ADCClsRoom39","ADCClsRoom40","ClsFTETier","InstCountry","InstState","InstShortName"
201602,2016CE2,ET,ABL601401,175801,ABL6014,Math Sense,ABL,6014,01,05/18/16,06/22/16,A,TR,,0,24,12,12,BSP,0,6,0.28,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,08:30AM,08:30AM,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30AM,10:30AM,10:30AM,10:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,1013,1013,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CH,CH,CH,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,315,315,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
201602,2016CE2,ET,ABL601430,175802,ABL6014,Math Sense,ABL,6014,30,05/18/16,06/22/16,C,TR,,0,24,0,24,BSP,0,0,0,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,08:30AM,08:30AM,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30AM,10:30AM,10:30AM,10:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,2006,2006,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6A,6A,6A,6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,218,218,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
201602,2016CE2,ET,BLA600001,175803,BLA6000,Bridges Reading Language Arts,BLA,6000,01,05/18/16,07/14/16,A,TR,,6,24,13,11,BSP,0,13,0.64,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,08:30AM,08:30AM,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30AM,10:30AM,10:30AM,10:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013,1013,1013,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TA,TA,TA,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116,2116,2116,2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
201602,2016CE2,ET,ECC600936,175822,ECC6009,College & Career Beg High,ECC,6009,36,05/18/16,07/14/16,A,TR,,1.2,35,28,7,BSP,0,25,1.17,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30AM,08:30AM,08:30AM,08:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:30AM,10:30AM,10:30AM,10:30AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,2008,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,HP,HP,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,116,116,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
201602,2016CE2,ET,ECC600937,175823,ECC6009,College & Career Beg High,ECC,6009,37,05/18/16,07/13/16,A,TR,,1.2,24,24,0,BSP,0,21,1.05,M,T,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06:00PM,06:00PM,06:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00PM,09:00PM,09:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,2008,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HP,HP,HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,116,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
201602,2016CE2,ET,ELT600074,175874,ELT6000,Refugee Education Multilevel,ELT,6000,74,05/17/16,06/30/16,A,TR,,4,24,20,4,BSP,0,20,0.78,T,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00AM,10:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30PM,12:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XX,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
201602,2016CE2,ET,ELT600076,175875,ELT6000,Refugee Education Multilevel,ELT,6000,76,07/05/16,07/28/16,A,TR,,4,24,17,7,BSP,0,17,0.39,T,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00AM,10:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:30PM,12:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XX,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213,1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
201602,2016CE2,ET,ELT600082,175879,ELT6000,Refugee Education Multilevel,ELT,6000,82,05/16/16,06/30/16,A,TR,,4,24,10,14,BSP,0,10,0.4,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00AM,11:00AM,11:00AM,11:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:00PM,01:00PM,01:00PM,01:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,9000,9000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XX,XX,XX,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,1313,1313,1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
201602,2016CE2,ET,ELT600083,175880,ELT6000,Refugee Education Multilevel,ELT,6000,83,07/05/16,07/28/16,A,TR,,4,30,30,0,BSP,0,30,0.89,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00AM,09:00AM,09:00AM,09:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00AM,11:00AM,11:00AM,11:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,9000,9000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XX,XX,XX,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,1313,1313,1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
201602,2016CE2,ET,ELT600084,175881,ELT6000,Refugee Education Multilevel,ELT,6000,84,07/05/16,07/28/16,A,TR,,4,30,13,17,BSP,0,13,0.28,M,T,W,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11:00AM,11:00AM,11:00AM,11:00AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01:00PM,01:00PM,01:00PM,01:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000,9000,9000,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XX,XX,XX,XX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1313,1313,1313,1313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Tier Two,US,NC,CPCC
