"InstTerm","ADCGradTerm","ADCPersonID","ADCGradAcadProgram","GradProg","GradCert","CIPCode2010","InstCountry","InstState","InstShortName"
201601,2016SP,3308493,A45170,A45170,,51.0901,US,NC,CPCC
201601,2016SP,3306411,A10500,A10500,,14.0102,US,NC,CPCC
201601,2016SP,3307962,A25120,A25120,,52.0201,US,NC,CPCC
201601,2016SP,3199575,A25450,A25450,,50.0411,US,NC,CPCC
201601,2016SP,3199575,C2545022,C25450,22,50.0411,US,NC,CPCC
201601,2016SP,3195472,A55220,A55220,,13.1210,US,NC,CPCC
201601,2016SP,3190645,A45740,A45740,,51.0909,US,NC,CPCC
201601,2016SP,3121501,A45360,A45360,,51.0707,US,NC,CPCC
201601,2016SP,3158502,D25380,D25380,,22.0302,US,NC,CPCC
201601,2016SP,3101531,A45380,A45380,,51.1599,US,NC,CPCC
201601,2016SP,3101531,C45380C1,C45380,C1,51.1599,US,NC,CPCC
201601,2016SP,3101531,C45380C2,C45380,C2,51.1599,US,NC,CPCC
201601,2016SP,3107698,A4538A,A4538A,,51.1599,US,NC,CPCC
201601,2016SP,3107698,C4538AC1,C4538A,C1,51.1599,US,NC,CPCC
201601,2016SP,3107698,C4538AC2,C4538A,C2,51.1599,US,NC,CPCC
201601,2016SP,3107698,C4538EC5,C4538E,C5,51.1501,US,NC,CPCC
201601,2016SP,3104994,A50420,A50420,,48.0508,US,NC,CPCC
201601,2016SP,3744606,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,3749217,C25500C1,C25500,C1,52.1203,US,NC,CPCC
201601,2016SP,3482021,A2537A,A2537A,,22.0301,US,NC,CPCC
201601,2016SP,3482021,C25370C4,C25370,C4,52.0204,US,NC,CPCC
201601,2016SP,3485819,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,3462024,A25120,A25120,,52.0201,US,NC,CPCC
201601,2016SP,3982169,A2537A,A2537A,,22.0301,US,NC,CPCC
201601,2016SP,3900637,A3018A,A3018A,,10.0301,US,NC,CPCC
201601,2016SP,3535775,A55300,A55300,,16.1603,US,NC,CPCC
201601,2016SP,3530732,A4538A,A4538A,,51.1599,US,NC,CPCC
201601,2016SP,3530732,C4538AC1,C4538A,C1,51.1599,US,NC,CPCC
201601,2016SP,3530732,C4538AC2,C4538A,C2,51.1599,US,NC,CPCC
201601,2016SP,3580568,A25100,A25100,,52.0301,US,NC,CPCC
201601,2016SP,3515304,C5035010,C50350,10,41.0204,US,NC,CPCC
201601,2016SP,3566984,C55290,C55290,,19.0706,US,NC,CPCC
201601,2016SP,3565718,A15240,A15240,,01.0601,US,NC,CPCC
201601,2016SP,3565718,C15240C1,C15240,C1,01.0601,US,NC,CPCC
201601,2016SP,3560527,C55180C5,C55180,C5,43.0104,US,NC,CPCC
201601,2016SP,3524242,A45170,A45170,,51.0901,US,NC,CPCC
201601,2016SP,3525447,A55180,A55180,,43.0104,US,NC,CPCC
201601,2016SP,3031648,C25370C5,C25370,C5,52.0204,US,NC,CPCC
201601,2016SP,3012344,A4538E,A4538E,,51.1501,US,NC,CPCC
201601,2016SP,3012344,C4538EC3,C4538E,C3,51.1501,US,NC,CPCC
201601,2016SP,3071412,A30220,A30220,,50.0408,US,NC,CPCC
201601,2016SP,3072961,A25380,A25380,,22.0302,US,NC,CPCC
201601,2016SP,3044500,A2512C,A2512C,,52.1001,US,NC,CPCC
201601,2016SP,8360178,A50350,A50350,,41.0204,US,NC,CPCC
201601,2016CE1,8378218,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,8393827,C55290,C55290,,19.0706,US,NC,CPCC
201601,2016SP,8394629,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,8394704,A55150,A55150,,12.0503,US,NC,CPCC
201601,2016SP,8390331,C40100C1,C40100,C1,15.0101,US,NC,CPCC
201601,2016SP,8192122,C55290,C55290,,19.0706,US,NC,CPCC
201601,2016SP,8671833,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,8670501,D45400,D45400,,51.0801,US,NC,CPCC
201601,2016SP,8644919,A35130,A35130,,46.0302,US,NC,CPCC
201601,2016SP,8691240,A4538E,A4538E,,51.1501,US,NC,CPCC
201601,2016SP,8695877,A25120,A25120,,52.0201,US,NC,CPCC
201601,2016SP,8659798,A25310,A25310,,51.0705,US,NC,CPCC
201601,2016SP,8782214,A55150,A55150,,12.0503,US,NC,CPCC
201601,2016SP,8767931,A25120,A25120,,52.0201,US,NC,CPCC
201601,2016SP,8747470,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016CE1,8491248,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,8455842,A25310,A25310,,51.0705,US,NC,CPCC
201601,2016SP,8407383,A60160,A60160,,47.0604,US,NC,CPCC
201601,2016SP,8936774,D45400,D45400,,51.0801,US,NC,CPCC
201601,2016SP,8939586,A25310,A25310,,51.0705,US,NC,CPCC
201601,2016SP,8988514,A25500,A25500,,52.1203,US,NC,CPCC
201601,2016SP,8988514,D25500D9,D25500,D9,52.1203,US,NC,CPCC
201601,2016SP,8989481,A55220,A55220,,13.1210,US,NC,CPCC
201601,2016SP,8231287,A25120,A25120,,52.0201,US,NC,CPCC
201601,2016SP,8239305,A45340,A45340,,51.0904,US,NC,CPCC
201601,2016SP,8235095,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,8288066,A25380,A25380,,22.0302,US,NC,CPCC
201601,2016SP,8289907,C15240C1,C15240,C1,01.0601,US,NC,CPCC
201601,2016SP,8525180,A30220,A30220,,50.0408,US,NC,CPCC
201601,2016SP,8556196,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,8034852,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016CE1,8032962,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,8083013,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,8081944,A55150,A55150,,12.0503,US,NC,CPCC
201601,2016SP,1813179,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,1819354,A45580,A45580,,51.0805,US,NC,CPCC
201601,2016SP,1894402,A25100,A25100,,52.0301,US,NC,CPCC
201601,2016SP,1131503,A10400,A10400,,24.0101,US,NC,CPCC
201601,2016SP,1187060,A4538E,A4538E,,51.1501,US,NC,CPCC
201601,2016SP,1187060,C4538EC3,C4538E,C3,51.1501,US,NC,CPCC
201601,2016CE1,1189253,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016CE1,1161814,AHS,AHS,,00.0000,US,NC,CPCC
201601,2016SP,1179091,C25500C8,C25500,C8,52.1203,US,NC,CPCC
201601,2016SP,1100172,C25500C1,C25500,C1,52.1203,US,NC,CPCC
201601,2016SP,1100172,C25500C3,C25500,C3,52.1203,US,NC,CPCC
201601,2016SP,1688134,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,1682555,A10200,A10200,,24.0101,US,NC,CPCC
201601,2016SP,1685148,A45110,A45110,,51.3801,US,NC,CPCC
201601,2016SP,1616293,A10100,A10100,,24.0101,US,NC,CPCC
201601,2016SP,1642821,C35100C1,C35100,C1,47.0201,US,NC,CPCC
