"ADCSTuCurPriProgCode","Title","PreviousCipCode","CurrentCipCode","Coordinator"
A10100,Associate in Arts,24.0101,24.0101,Jennifer Frazelle
A1010A,Associate in Arts/Art Education (Archived),24.0101,24.0101,Jennifer Frazelle
A1010B,Associate in Arts/Business Administration  Accounting  Economics Finance  and Marketing (Archived),24.0101,24.0101,Jennifer Frazelle
A1010C,Associate in Arts/Business Education and Marketing Education (Archived),24.0101,24.0101,Jennifer Frazelle
A1010D,Associate in Arts/Criminal Justice (Archived),24.0101,24.0101,Jennifer Frazelle
A1010E,Associate in Arts/English (Archived),24.0101,24.0101,Jennifer Frazelle
A1010F,Associate in Arts/English Education (Archived),24.0101,24.0101,Jennifer Frazelle
A1010G,Associate in Arts/Health Education (Archived),24.0101,24.0101,Jennifer Frazelle
A1010H,Associate in Arts/History (Archived),24.0101,24.0101,Jennifer Frazelle
A1010I,Associate in Arts/Nursing (Archived),24.0101,51.1105,Jennifer Frazelle
A1010J,Associate in Arts/Physical Education (Archived),24.0101,24.0101,Jennifer Frazelle
A1010K,Associate in Arts/Political Science (Archived),24.0101,24.0101,Jennifer Frazelle
A1010L,Associate in Arts/Psychology (Archived),24.0101,24.0101,Jennifer Frazelle
A1010M,Associate in Arts/Social Science Secondary Education (Archived),24.0101,24.0101,Jennifer Frazelle
A1010N,Associate in Arts/Sociology (Archived),24.0101,24.0101,Jennifer Frazelle
A1010O,Associate in Arts/Communication (Archived),24.0101,24.0101,Jennifer Frazelle
A1010P,Associate in Arts/Elementary Education  Middle Grades Education and Special Education (Archived),24.0101,24.0101,Jennifer Frazelle
A1010Q,Associate in Arts/Social Work (Archived),24.0101,24.0101,Jennifer Frazelle
A1010R,Associate in Arts/Elementary Education (Archived),24.0101,24.0101,Jennifer Frazelle
A1010S,Associate in Arts/Middle Grades Education and Special Education (Archived),24.0101,24.0101,Jennifer Frazelle
A1010T,Associate in Arts/Computer Science (Archived),24.0101,24.0101,Jennifer Frazelle
A1010U,Associate in Arts/Liberal Studies (Archived),24.0101,24.0101,Jennifer Frazelle
A1010V,Associate in Arts/Information Systems (Archived),24.0101,24.0101,Jennifer Frazelle
A1010W,Associate in Arts/Mass Communication/Journalism (Archived),24.0101,24.0101,Jennifer Frazelle
A1010X,Associate in Arts/Anthropology (Archived),24.0101,24.0101,Jennifer Frazelle
A1010Y,Associate in Arts/Geography (Archived),24.0101,24.0101,Jennifer Frazelle
A1010Z,Associate in Arts/Special Education (Archived),24.0101,24.0101,Jennifer Frazelle
