SAS File,Datatel Table,Datatel Field,Download Field Name,Field Type,Field Start Position,Field End Position,Length,SAS Format,Multi-Value,SAS Variable Name
FinAidSpons,AR.PAYMENTS,ARP.PERSON.ID,ID,Character,1,10,10,$10.,No,ADCPersonID
FinAidSpons,AR.PAYMENTS,AR.PAYMENTS.ID,AR Payments,Character,11,21,11,$11.,No,ADCARPPaymentsID
FinAidSpons,AR.PAYMENTS,ARP.AMT,Amount,Numeric,22,33,12,COMMA8.2,No,ADCARPAmount
FinAidSpons,AR.PAYMENTS,ARP.AR.ACCTS.ID,ARP.AR.ACCTS.ID,Character,34,48,15,$15.,No,ADCARPAcctsID
FinAidSpons,AR.PAYMENTS,ARP.AR.POSTED.FLAG,AR Posted,Character,49,57,9,$2.,No,ADCARPPostedFlag
FinAidSpons,AR.PAYMENTS,ARP.AR.TYPE,AR Type,Character,58,92,35,$4.,No,ADCARPType
FinAidSpons,AR.PAYMENTS,ARP.DATE,Date,Character,93,100,8,$8.,No,ADCARPDate
FinAidSpons,AR.PAYMENTS,ARP.FIRST.NAME,ARP.FIRST.NAME,Character,101,130,30,$30.,No,ADCARPStuFirstName
FinAidSpons,AR.PAYMENTS,ARP.LAST.NAME,Last Name,Character,131,187,57,$30.,No,ADCARPStuLastName
FinAidSpons,AR.PAYMENTS,ARP.MIDDLE.NAME,ARP.MIDDLE.NAME,Character,188,203,16,$16.,No,ADCARPStuMiddleName
FinAidSpons,AR.PAYMENTS,ARP.ON.AR.ACCTS,ARP.ON.AR.ACCTS,Character,204,218,15,$3.,No,ADCARPOnArAccts
FinAidSpons,AR.PAYMENTS,ARP.PAYMENT.ITEMS,Payment Items,Character,219,231,13,$10.,Yes,ADCARPPaymentItems
FinAidSpons,AR.PAYMENTS,ARP.PER.TYPE.TERM.IDX,ARP.PER.TYPE.TERM.IDX,Character,232,254,23,$20.,No,ADCARPStuTypeTerm
FinAidSpons,AR.PAYMENTS,ARP.REPORTING.TERM,Reporting Term,Character,255,268,14,$10.,No,ADCARPReportingTerm
FinAidSpons,AR.PAYMENTS,ARP.REVERSAL.AMT,Reversed Amt,Numeric,269,280,12,COMMA8.2,No,ADCARPReversedAmt
FinAidSpons,AR.PAYMENTS,ARP.SPON.PER.IDX,ARP.SPON.PER.IDX,Character,281,300,20,$20.,No,ADCARPSponPersonIndex
FinAidSpons,AR.PAYMENTS,ARP.SPONSOR.INVOICE,Sponsor Invoice,Character,301,315,15,$10.,No,ADCARPSponsorInvoice
FinAidSpons,AR.PAYMENTS,ARP.SPONSORED.PERSON,Sponsored Person,Character,316,331,16,$10.,No,ADCARPSponsoredPerson
FinAidSpons,AR.PAYMENTS,ARP.SPONSORSHIP.IDX,ARP.SPONSORSHIP.IDX,Character,332,350,19,$12.,No,ADCARPSponsorshipIndex
FinAidSpons,AR.PAYMENTS,ARP.TERM,Term,Character,351,385,35,$10.,No,ADCARPTerm
FinAidSpons,AR.PAYMENTS,ARP.TERM.TRANSFER.FLAG,Term,Character,386,389,4,$3.,No,ADCARPTermXferFlag
FinAidSpons,AR.PAYMENTS,QBSEC,QBSEC,Character,390,394,5,$3.,No,ADCARPQBSEC
FinAidSpons,AR.PAYMENTS,XARP.ITEM.COUNT,COUNT,Numeric,395,402,8,8.,No,ADCARPCount
FinAidSpons,AR.PAYMENTS,XARP.NET.AMT,NET AMT,Numeric,403,414,12,COMMA8.2,No,ADCARPNetAmt
FinAidSpons,AR.PAYMENTS,XARP.SOURCE,SOURCE,Character,415,420,6,$6.,No,ADCARPSource
FinAidSpons,AR.PAYMENTS,ARP.PERSON.ID,ID,Character,421,430,10,$10.,No,ADCPersonID
