SAS File,Datatel Table,Datatel Field,Download Field Name,Field Type,Field Start Position,Field End Position,Length,SAS Format,Multi-Value,SAS Variable Name,
Student02,PERSON,@ID,PERSON,Character,1,10,10,$10.,No,ADCPersonID,
Student02,PERSON,SIN,SIN,Character,11,21,11,$13.,No,ADCStuSSN,
Student02,PERSON,CITIZENSHIP,CITIZENSHIP,Character,22,32,11,$3.,No,ADCStuCitizenship,
Student02,PERSON,PERSON.ALT.IDS,Alt IDs,Character,33,62,30,$13.,No,ADCStuAltIDs,
Student02,PERSON,LAST.NAME,Last Name,Character,63,87,25,$25.,No,ADCStuLastName,
Student02,PERSON,FIRST.NAME,First Name,Character,88,102,15,$15.,No,ADCStuFirstName,
Student02,PERSON,MIDDLE.NAME,Middle Name,Character,103,117,15,$15.,No,ADCStuMiddleName,
Student02,PERSON,SUFFIX,SUFFIX,Character,118,142,25,$15.,No,ADCStuNameSuffix,
Student02,PERSON,NAME.HISTORY.LAST.NAME,NAME.HISTORY.LAST.NAME,Character,143,167,25,$5.,No,ADCStuPreviousLastNames,
Student02,PERSON,ADDRESS.LINES,ADDRESS.LINES,Character,168,197,30,$30.,Yes,ADCStuMailAddress1,
Student02,PERSON,CITY, ,Character,198,222,25,$25.,No,ADCStuMailCity,
Student02,PERSON,STATE,STATE,Character,223,227,5,$4.,No,ADCStuMailState,
Student02,PERSON,ZIP, ,Character,228,237,10,$10.,No,ADCStuMailZip,
Student02,PERSON,COUNTY,COUNTY,Character,238,267,30,$5.,No,ADCStuCounty,
Student02,PERSON,ADDR.TYPE,ADDR.TYPE,Character,268,287,20,$20.,Yes,ADCStuMailAddress1Type,
Student02,PERSON,PERSONAL.PHONE.NUMBER,PERSONAL.PHONE.NUMBER,Character,288,308,21,$14.,Yes,ADCStuPersonalPhone,
Student02,PERSON,PERSONAL.PHONE.TYPE,PERSONAL.PHONE.TYPE,Character,309,327,19,$6.,Yes,ADCStuPersonalPhoneType,
Student02,PERSON,EMER.CONTACT.PHONE,EMER.CONTACT.PHONE,Character,328,345,18,$14.,No,ADCStuEmergencyPhone,
Student02,PERSON,BIRTH.DATE,Birthday,Character,346,355,10,$12.,No,ADCStuBirthDate,
Student02,PERSON,ETHNIC,ETHNIC,Character,356,361,6,$3.,No,ADCStuEthnic,
Student02,PERSON,GENDER,Gender,Character,362,367,6,$3.,No,ADCStuGender,
Student02,PERSON,COUNTRY,COUNTRY,Character,368,387,20,$3.,No,ADCStuMailingCountry,
Student02,PERSON,RESIDENCE.COUNTRY,Residence Country,Character,388,407,20,$3.,No,ADCStuResidenceCountry,
Student02,PERSON,RESIDENCE.STATE,RESIDENCE.STATE,Character,408,437,30,$3.,No,ADCStuResidenceState,
Student02,PERSON,PERSON.OVRL.EMP.STAT,PERSON.OVRL.EMP.STAT,Character,438,462,25,$3.,No,ADCStuEmploymentStatus,
Student02,PERSON,VETERAN.TYPE,Veteran Type,Character,463,482,20,$10.,No,ADCStuVeteranType,
Student02,PERSON,DECEASED.DATE,Deceased Date,Character,483,495,13,$10.,No,ADCStuDeceasedDate,
Student02,PERSON,DRIVER.LICENSE.STATE,State,Character,496,510,15,$3.,No,ADCStuDriverLicenseState,
Student02,PERSON,DRIVER.LICENSE.NO,Driver's License Number,Character,511,525,15,$15.,No,ADCStuDriverLicenseNumber,
Student02,PERSON,MARITAL.STATUS,MARITAL.STATUS,Character,526,539,14,$3.,No,ADCStuMaritalStatus,
Student02,PERSON,PERSON.EMAIL.ADDRESSES,E-Mail Address,Character,540,589,50,$50,Yes,ADCStuEMailAddress,
Student02,PERSON,PERSON.EMAIL.TYPES,E-Mail Type,Character,590,600,11,$5.,Yes,ADCStuEMailType,
Student02,PERSON,PRIVACY.FLAG,Privacy,Character,601,625,25,$2.,No,ADCStuPrivacyFlag,
Student02,PERSON,VISA.TYPE,Visa Type,Character,626,655,30,$3.,No,ADCStuVisaType,
Student02,PERSON,PERSON.ADD.DATE,PERSON.ADD.DATE,Character,656,670,15,$10.,No,ADCStuAddDate,
Student02,PERSON,PERSON.ADD.OPERATOR,PERSON.ADD.OPERATOR,Character,671,689,19,$10.,No,ADCStuAddOpr,
Student02,PERSON,PERSON.CHANGE.DATE,PERSON.CHANGE.DATE,Character,690,707,18,$10.,No,ADCStuChgDate,
Student02,PERSON,PERSON.CHANGE.OPERATOR,PERSON.CHANGE.OPERATOR,Character,708,729,22,$10.,No,ADCStuChgOpr,
Student02,PERSON,PER.ETHNICS,Ethnics,Character,730,739,10,$4.,No,ADCStuEthnic,
Student02,PERSON,PER.RACES,Races,Character,740,749,10,$4.,Yes,ADCStuRaces,
Student02,PERSON,PER.PRI.ETHNIC,Primary Ethnic,Character,750,763,14,$4.,No,ADCStuPrimaryEthnic,
Student02,PERSON,PER.PRI.RACE,Primary Races,Character,764,776,13,$4.,No,ADCStuPrimaryRace,
Student02,PERSON,@ID,PERSON,Character,777,786,10,$10.,No,ADCPersonID,
