SAS File,Datatel Table,Datatel Field,Download Field Name,Field Type,Field Start Position,Field End Position,Length,SAS Format,Multi-Value,SAS Variable Name,
Student09,STUDENT.COURSE.SEC,STC.PERSON.ID,Person ID,Character,1,10,10,$10.,No,ADCPersonID,
Student09,STUDENT.COURSE.SEC,STC.COURSE.NAME,Course Name,Character,11,25,15,$12.,No,ADCStuCourseDash,
Student09,STUDENT.COURSE.SEC,STC.SECTION.NO,Section,Character,26,32,7,$6.,No,ADCStuClsSection,
Student09,STUDENT.COURSE.SEC,STC.SUBJECT,Subject,Character,33,72,40,$8.,No,ADCStuClsPrefix,
Student09,STUDENT.COURSE.SEC,STC.TERM,Term,Character,73,107,35,$7.,No,ADCStuClsTerm,DUPLICATE
Student09,STUDENT.COURSE.SEC,STC.REPORTING.TERM,Rpt Term,Character,108,142,35,$7.,No,ADCStuClsReportTerm,
Student09,STUDENT.COURSE.SEC,STC.STATUS,Status,Character,143,157,15,$4.,Yes,ADCStuClsStatus,
Student09,STUDENT.COURSE.SEC,STC.STATUS.DATE,Status Date,Character,158,168,11,$10.,Yes,ADCStuClsStatusDate,
Student09,STUDENT.COURSE.SEC,STC.STATUS.TIME,Status Time,Character,169,175,7,$9.,Yes,ADCStuClsStatusTime,
Student09,STUDENT.COURSE.SEC,STC.STATUS.REASON,Reason,Character,176,204,29,$4.,No,ADCStuClsStatusReason,
Student09,STUDENT.COURSE.SEC,STC.GRADE.SCHEME,Grade Scheme,Character,205,239,35,$4.,No,ADCStuClsGradeScheme,
Student09,STUDENT.COURSE.SEC,STC.CEUS,CEUs,Numeric,240,245,6,6.,No,ADCStuRegCEUnits,
Student09,STUDENT.COURSE.SEC,STC.CRED,Reg Cred,Numeric,246,253,8,8.,No,ADCStuRegCUCredits,
Student09,STUDENT.COURSE.SEC,STC.FINAL.GRADE,Final Grade,Character,254,264,11,$4.,No,ADCStuClsFinalGradeCode,
Student09,STUDENT.COURSE.SEC,X.SCS.GRADE,Grade,Character,265,269,5,$4.,No,ADCStuClsFinalGrade,
Student09,STUDENT.COURSE.SEC,X.SCS.GRADE.DESC,Grade Legend,Character,270,299,30,$30.,No,ADCStuClsGradeLegend,
Student09,STUDENT.COURSE.SEC,STC.VERIFIED.GRADE,Vrfd,Character,300,304,5,$4.,No,ADCStuClsVrfdGradeCode,
Student09,STUDENT.COURSE.SEC,STC.VERIFIED.GRADE.CHGOPR,Verified Grade Changed By,Character,305,329,25,$8.,No,ADCStuClsVrfdGradeChgOpr,
Student09,STUDENT.COURSE.SEC,STC.VERIFIED.GRADE.DATE,Verified Grade Date,Character,330,348,19,$10.,No,ADCStuClsVrfdGradeDate,
Student09,STUDENT.COURSE.SEC,SCS.REG.METHOD,Reg Method,Character,349,378,30,$7.,No,ADCStuClsRegMethod,
Student09,STUDENT.COURSE.SEC,X.SCS.SEC.COURSE.NO,X.SCS.SEC.COURSE.NO,Character,379,397,19,$8.,No,ADCStuClsNumber,
Student09,STUDENT.COURSE.SEC,STC.PERSON.ID,Person ID,Character,398,407,10,$10.,No,ADCPersonID,DUPLICATE-NOT USED
Student09,STUDENT.COURSE.SEC,Created Variable,,Character,,,24,$24.,No,ClassDash,
Student09,STUDENT.COURSE.SEC,Created Variable,,Character,,,15,$15.,No,ExitTranslation,
