@ID,D,0,,STUDENT.ACAD.CRED,5L,S
CRS.NO,I Generated Reference Pointer,"TRANS(COURSES,STC.COURSE,'CRS.NO','X')",,Course No,7L,S
DFLT.DA.SORT.STRING,I Gets the Datatel-supplied default DA sort string,"SUBR(""CC.GET.DFLT.DA.SORT.STRING"",@ID)",,,20L,S
PST.STUDENT.NON.COURSES,I Generated Reference Pointer,"TRANS(PERSON.ST,STC.PERSON.ID,'PST.STUDENT.NON.COURSES','X')",,Non-Courses,10L,M
QBSEC,I,"SUBR(""QBSEC"",""STUDENT.ACAD.CRED"",@ID,@RECORD)",,,1R,S
SCS.ABSENT.DATES,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.ABSENT.DATES','X')",D2/MDY,Absent Dates,8R,M
SCS.ABSENT.NOTICE.DATE,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.ABSENT.NOTICE.DATE','X')",D2/MDY,Absence Notice Date,8R,S
SCS.ADDNL.AMTS,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.ADDNL.AMTS','X')",,Addnl Amts,5L,M
SCS.AR.POSTED.FLAG,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.AR.POSTED.FLAG','X')",,AR Posted,3L,S
SCS.ATTENDANCE.REASON,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.ATTENDANCE.REASON','X')",,Attendance Reason,50L,M
SCS.ATTENDANCE.TYPES,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.ATTENDANCE.TYPES','X')",,Attendance Type,5L,M
SCS.COMMENTS,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.COMMENTS','X')",,Comments,65L,M
SCS.COURSE.SECTION,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.COURSE.SECTION','X')",,Course Section,21L,S
SCS.FINAL.NOTES,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.FINAL.NOTES','X')",,Final Notes,35L,M
SCS.FINAL.NOTES.ADDDATE,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.FINAL.NOTES.ADDDATE','X')",D2/MDY,Final Notes Add Date,8R,M
SCS.FINAL.NOTES.ADDOPR,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.FINAL.NOTES.ADDOPR','X')",,Final Notes Added By,8L,M
SCS.LAST.ATTEND.DATE,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.LAST.ATTEND.DATE','X')",D2/MDY,Last Attend Date,8R,S
SCS.LOCATION,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.LOCATION','X')",,Location,35L,S
SCS.MID.GRADE.DATE1,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.DATE1','X')",D2/MDY,Midterm Grade1 Date,8R,S
SCS.MID.GRADE.DATE2,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.DATE2','X')",D2/MDY,Midterm Grade2 Date,8R,S
SCS.MID.GRADE.DATE3,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.DATE3','X')",D2/MDY,Midterm Grade3 Date,8R,S
SCS.MID.GRADE.DATE4,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.DATE4','X')",D2/MDY,Midterm Grade4 Date,8R,S
SCS.MID.GRADE.DATE5,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.DATE5','X')",D2/MDY,Midterm Grade5 Date,8R,S
SCS.MID.GRADE.DATE6,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.DATE6','X')",D2/MDY,Midterm Grade6 Date,8R,S
SCS.MID.GRADE.REPORT.FLAG1,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.REPORT.FLAG1','X')",,Midterm Grade1 Rpt,3L,S
SCS.MID.GRADE.REPORT.FLAG2,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.REPORT.FLAG2','X')",,Midterm Grade2 Rpt,3L,S
SCS.MID.GRADE.REPORT.FLAG3,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.REPORT.FLAG3','X')",,Midterm Grade3 Rpt,3L,S
SCS.MID.GRADE.REPORT.FLAG4,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.REPORT.FLAG4','X')",,Midterm Grade4 Rpt,3L,S
SCS.MID.GRADE.REPORT.FLAG5,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.REPORT.FLAG5','X')",,Midterm Grade5 Rpt,3L,S
SCS.MID.GRADE.REPORT.FLAG6,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.GRADE.REPORT.FLAG6','X')",,Midterm Grade6 Rpt,3L,S
SCS.MID.NOTES,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.NOTES','X')",,Midterm Notes,35L,M
SCS.MID.NOTES.ADDDATE,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.NOTES.ADDDATE','X')",D2/MDY,Midterm Notes Add Date,8R,M
SCS.MID.NOTES.ADDOPR,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.NOTES.ADDOPR','X')",,Midterm Notes Added By,8L,M
SCS.MID.TERM.GRADE1,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.TERM.GRADE1','X')",,Midterm Grade 1,3L,S
SCS.MID.TERM.GRADE2,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.TERM.GRADE2','X')",,Midterm Grade 2,3L,S
SCS.MID.TERM.GRADE3,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.TERM.GRADE3','X')",,Midterm Grade 3,3L,S
SCS.MID.TERM.GRADE4,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.TERM.GRADE4','X')",,Midterm Grade 4,3L,S
SCS.MID.TERM.GRADE5,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.TERM.GRADE5','X')",,Midterm Grade 5,3L,S
SCS.MID.TERM.GRADE6,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.MID.TERM.GRADE6','X')",,Midterm Grade 6,3L,S
SCS.OVERRIDE.BILLING.CRED,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.OVERRIDE.BILLING.CRED','X')","MD25,",Billing Cred,8R,S
SCS.OVERRIDE.DISCOUNT.AMTS,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.OVERRIDE.DISCOUNT.AMTS','X')","MD2,",Override Discount Amts,10R,M
SCS.OVERRIDE.DISCOUNT.PCTS,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.OVERRIDE.DISCOUNT.PCTS','X')",MD2,Override Discount Pct,6R,M
SCS.OVERRIDE.DISCOUNTS,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.OVERRIDE.DISCOUNTS','X')",,Override Discounts,35L,M
SCS.PASS.AUDIT,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.PASS.AUDIT','X')",,Pass/Audit,15L,S
SCS.PRINTED.COMMENTS,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.PRINTED.COMMENTS','X')",,Printed Comments,65L,M
SCS.RANDOM.ID,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.RANDOM.ID','X')",MD0,Random ID,10R,S
SCS.REG.AR.POSTING.ITEMS,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.REG.AR.POSTING.ITEMS','X')",,AR Posting Items,1L,M
SCS.REG.METHOD,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.REG.METHOD','X')",,Reg Method,30L,S
SCS.REG.TIME.PERIOD,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.REG.TIME.PERIOD','X')",,Reg Time Period,30L,S
SCS.STUDENT,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.STUDENT','X')",,Student,10L,S
SCS.STUDENT.ACAD.CRED,I Generated Reference Pointer,"TRANS(STUDENT.COURSE.SEC,STC.STUDENT.COURSE.SEC,'SCS.STUDENT.ACAD.CRED','X')",,Student Acad Cred,10L,S
SEC.LOCATION,I Generated Reference Pointer,"TRANS(COURSE.SECTIONS,STC.COURSE.SECTION,'SEC.LOCATION','X')",,Location,35L,S
STC.ACAD.LEVEL,D The academic level to which this credit applies.,3,,Acad Level,35L,S
STC.ACTIVE.PROGRAMS,I Return Active programs for STUDENT.ACAD.CRED,"SUBR(""CC.GET.ACTIVE.PROGRAMS"",STC.PERSON.ID,TRANS(""STUDENTS"",STC.PERSON.ID,""STU.ACAD.PROGRAMS"",""X""),""PROGRAMS"",STC.START.DATE);@1",,Active Programs,20L,M
STC.ALL.REPL.FLAG,"I Returns a flag of ""Y"" if the student acad cred record has a","TRANS(""STUDENT.ACAD.CRED"",STC.REPEATED.ACAD.CRED,""STC.REPL.CODE"",""X""); IF LEN(@1) NE ((((2) * (COUNT(@1,@VM)))) + (1)) THEN (""N"") ELSE (""Y"")",,All Repl Flag,1L,S
STC.ALLOW.REPL.FLAG,D Yes/no flag specifying if this record is never to be,56,,Allow Repl,3L,S
STC.ALTCUM.CONTRIB.ATT.CRED,D The number of credits attempted that will be counted,44,"MD25,",Alt CumýAtt Cred,8R,S
STC.ALTCUM.CONTRIB.CMPL.CRED,D The number of credits completed that will be counted,45,"MD25,",Alt CumýCmpl Cred,8R,S
STC.ALTCUM.CONTRIB.GPA.CRED,D The number of GPA credits that will be counted,46,"MD25,",Alt CumýGPA Cred,8R,S
STC.ALTCUM.CONTRIB.GRADE.PTS,D This is the number of grade points that this entry,49,MD5,Alt Cum ContribýGrade Points,9R,S
STC.ATT.CEUS,D This is the number of continuing education units that,37,MD2,CEUs Att,6R,S
STC.ATT.CRED,D This is the number of credits that will be counted,39,"MD25,",Att Cred,8R,S
STC.CEUS,D The number of continuing education units (CEUs) a,23,MD2,CEUs,6R,S
STC.CMPL.CEUS,D This is the number of continuing ed units completed.,38,MD2,Cmpl CEUs,6R,S
STC.CMPL.CRED,D The number of credits attempted that were actually,13,"MD25,",Cmpl Cred,8R,S
STC.COMMENTS,D Free form text about the academic credit.  Displayed,32,,Comments,65L,M
STC.COUNT.RETAKE.CRED.FLAG,I This is the count retake cred flag on the course.,"TRANS(""COURSES"",STC.COURSE,""CRS.COUNT.RETAKE.CRED.FLAG"",""X"")",,CountýRetakeýCredýFlag,1L,S
STC.COURSE,D ID of the course associated with this academic credit.,7,,Course,15L,S
STC.COURSE.LEVEL,D Course level for which credit is valid.  Defaults from,4,,Course Level,30L,S
STC.COURSE.NAME,D Name of the course when the student took it.,24,,Course Name,15L,S
STC.COURSE.SECTION,I Created to allow selection of STUDENT.ACAD.CRED by,"TRANS(""STUDENT.COURSE.SEC"",STC.STUDENT.COURSE.SEC,""SCS.COURSE.SECTION"",""X"")",,Section,19L,S
STC.COURSE.TYPES,I Defines the course types (if item is a course or a,"IF STC.STUDENT.COURSE.SEC = '' THEN (IF STC.COURSE = '' THEN ("""") ELSE (STC.CRS.COURSE.TYPES)) ELSE (STC.CS.SSCS)",,Course Types,20L,M
STC.CRED,D The number of credits or clock hours for which,12,"MD25,",Reg Cred,8R,S
STC.CRED.CONVERSION,D This is the conversion factor that will be used to,40,MD5,Cred Conversion,9R,S
STC.CRED.TYPE,D Shows the credit type associated with this entry for,15,,Cred Type,35L,S
STC.CRS.COURSE.TYPES,I 1998 July 9  09:13pm  Ms. Gini Anne,"TRANS(""COURSES"",STC.COURSE,""CRS.COURSE.TYPES"",""X"")",,CrseýTypes,5L,M
STC.CRS.NAME,I To display the current real course name,"TRANS(""COURSES"",STC.COURSE,""CRS.NAME"",""X"")",,,20L,S
STC.CRS.NUMBER,I Retrieves the course's CRS.NO,"TRANS(""COURSES"",STC.COURSE,""CRS.NO"",""X"")",,,7L,S
STC.CS.SSCS,I 1998 July 9  09:10pm  Ms. Gini Anne,"TRANS(""COURSE.SECTIONS"",STC.SCS.COURSE.SECTION,""SEC.COURSE.TYPES"",""X"")",,CrsýTypes,5L,M
STC.CSM.START,I Virtual field for sorting STC records by the,"TRANS(""COURSE.SEC.MEETING"",STC.MEETING.SEC,""CSM.START.DATE"",""X"")",D2/,CSM Start Date,8R,M
STC.CSM.START.DATE,I Virtual field for sorting STC records by the,"EXTRACT(STC.START.DATE.CSM,1,1,0)",D2/,CSM Start Date,8R,S
STC.CUM.CONTRIB.ATT.CRED,D The number of credits attempted that will be counted,41,"MD25,",Cum AttýCred,8R,S
STC.CUM.CONTRIB.CMPL.CRED,D The number of credits completed that will be counted,42,"MD25,",Cum CmpltýCred,8R,S
STC.CUM.CONTRIB.GPA.CRED,D The number of credits completed that will be counted,43,"MD25,",Cum GPAýCred,8R,S
STC.CUM.CONTRIB.GRADE.PTS,D This is the number of grade points that this entry,48,MD5,Cum ContribýGrade Points,9R,S
STC.CURRENT.NOTE,I This is the most current (first) note stored,"EXTRACT(STC.NOTES,1,1,0)",,CurrentýNote,5L,S
STC.CURRENT.RESIDENCY.STATUS,I This gets the residency status for the student based,"FIELD(SUBR(""CC.GET.DATE.SUBSET"",TRANS(""STUDENTS"",STC.PERSON.ID,""STU.RESIDENCY.STATUS"",""X""),TRANS(""STUDENTS"",STC.PERSON.ID,""STU.RESIDENCY.STATUS.DATE"",""X""),SUBR(""S.UDT.TRANS"",""STUDENTS"",STC.PERSON.ID,""STU.RESIDENCY.END.DATES""),DATE()),@VM,1)",,CurrentýResidencyýStatus,5L,S
STC.CURRENT.STATUS,I This is the most current (first) student academic,"EXTRACT(STC.STATUS,1,1,0)",,CurrentýStatus,2L,S
STC.CURRENT.STATUS.DATE,I Extract the most recent (first) status date.,"EXTRACT(STC.STATUS.DATE,1,1,0)",D2/,CurrentýStatus Date,8R,S
STC.DATE,I 1998 July 9  09:00pm  Ms. Gini Anne,DATE(),D2/,CurrentýDate,8R,S
STC.DATE.STATUS,I This is the status as of a certain date.  It can be,"SUBR(""CC.GET.DATE.STC.STATUS"",""5/22/96"",@ID)",,St,2L,S
STC.DEPTS,D List of departments to which this academic credit,5,,Depts,40L,M
STC.DIVISIONS,D List of divisions to which the departments of this,21,,Divisions,35L,M
STC.END.DATE,D The date this academic credit has finished or is,30,D2/MDY,End Date,8R,S
STC.FACULTY,I To get the list of faculty for this stc record,"TRANS(""COURSE.SEC.FACULTY"",STC.SEC.FACULTY,""CSF.FACULTY"",""X"")",,,10L,M
STC.FACULTY.LOAD,I To get the faculty workload for this STC record,"TRANS(""COURSE.SEC.FACULTY"",STC.SEC.FACULTY,""CSF.FACULTY.LOAD"",""X"")",MD2,Fac Load,6R,M
STC.FINAL.GRADE,D This is the unverified (unoffical) grade of the,17,,Final Grade,3L,S
STC.FINAL.GRADE.LOCK.DATE,D,79,D2/MDY,,8R,S
STC.FINAL.GRADE.LOCK.OPR,D,80,,,8L,S
STC.FINAL.GRADE.LOCK.STATUS,D Indicates that the final grade of the STUDENT.ACAD.CRED record is,78,,Locked In for Batch Verification,2L,S
STC.GPA.CRED,D The credits actually used for calculation of GPA.,14,"MD25,",GPA Cred,8R,S
STC.GPA1.ACAD.PROGRAMS,D This field designates in which academic programs this,58,,GPA1 Acad Programs,20L,M
STC.GPA1.MAJORS,D These are the majors associated with the academic,59,,GPA1 Majors,35L,M
STC.GPA2.ACAD.PROGRAMS,D This field designates in which academic programs this,60,,GPA2 Acad Programs,20L,M
STC.GPA2.MINORS,D These are the minors associated with the academic,61,,GPA2 Minors,35L,M
STC.GRADE,I The actual grade,"TRANS(""GRADES"",STC.VERIFIED.GRADE,""GRD.GRADE"",""X"")",,GRD,3L,S
STC.GRADE.EXPIRE.DATE,D This is the date by which the verified grade will need,28,D2/MDY,Grade Expire Date,8R,S
