Name,Type,Length,Format,Informat,Label
InstTerm,Character,10,$10.00 ,,
InstDataPoint,Character,10,$10.00 ,,
ADCPersonID,Character,10,$10.00 ,,
ADCStuSSN,Character,11,,,
ADCStuCitizenship,Character,3,,,
ADCStuAltIDs,Character,13,,,
ADCStuLastName,Character,25,,,
ADCStuFirstName,Character,15,,,
ADCStuMiddleName,Character,15,,,
ADCStuNameSuffix,Character,15,,,
ADCStuPreviousLastNames,Character,25,,,
ADCStuMailAddress1,Character,30,,,
ADCStuMailCity,Character,25,,,
ADCStuMailState,Character,4,,,
ADCStuMailZip,Character,10,,,
ADCStuCounty,Character,5,,,
ADCStuMailAddress1Type,Character,20,,,
ADCStuPersonalPhone,Character,12,,,
ADCStuPersonalPhoneType,Character,6,,,
ADCStuEmergencyPhone,Character,14,,,
ADCStuBirthDate,Character,10,,,
BirthDate,Character,8,$8.00 ,,
Age,Numeric,8,,,
ADCStuEthnicOLD,Character,3,,,
ADCStuGender,Character,3,,,
ADCStuMailingCountry,Character,3,,,
ADCStuResidenceCountry,Character,3,,,
ADCStuResidenceState,Character,3,,,
ADCStuEmploymentStatus,Character,3,,,
ADCStuVeteranType,Character,10,,,
ADCStuDeceasedDate,Character,10,,,
ADCStuDriverLicenseState,Character,3,,,
ADCStuDriverLicenseNumber,Character,15,,,
ADCStuMaritalStatus,Character,3,,,
ADCStuEMailAddress,Character,50,,,
ADCStuEMailType,Character,5,,,
ADCStuPrivacyFlag,Character,2,,,
ADCStuVisaType,Character,3,,,
ADCStuAddDate,Character,10,,,
ADCStuAddOpr,Character,10,,,
ADCStuChgDate,Character,10,,,
ADCStuChgOpr,Character,10,,,
IPEDSRace,Character,17,,,
InstRaceEthnic,Character,30,,,
ADCStuEthnic,Character,4,,,
ADCStuRaces,Character,4,,,
ADCStuRaces01,Character,4,,,
ADCStuRaces02,Character,4,,,
ADCStuRaces03,Character,4,,,
ADCStuRaces04,Character,4,,,
ADCStuRaces05,Character,4,,,
ADCStuRaces06,Character,4,,,
ADCStuRaces07,Character,4,,,
ADCStuRaces08,Character,4,,,
ADCStuRaces09,Character,4,,,
ADCStuRaces10,Character,4,,,
ADCStuPrimaryEthnic,Character,4,,,
ADCStuPrimaryRace,Character,4,,,
ADCStuStEMailAddress,Character,50,$50.00 ,,
ADCStuPriEMailAddress,Character,50,$50.00 ,,
ADCStuCPCCEmpEMailAddress,Character,50,$50.00 ,,
ADCStuOtrEMailAddress,Character,50,$50.00 ,,
ADCStuHomePhone,Character,14,$14.00 ,,
ADCStuCellPhone,Character,14,$14.00 ,,
ADCStuBusPhone,Character,14,$14.00 ,,
ADCStuOtrPhone,Character,14,$14.00 ,,
ADCStuClsTerm,Character,7,,,
ADCStuClsReportTerm,Character,7,,,
TotalCUCredits,Numeric,8,8.2,,
TotalCEUs,Numeric,8,6.2,,
ADCStuAcadLevel,Character,6,,,
ADCStuGRSAdmitStatus,Character,3,,,
ADCStuFederalCohortGroup,Character,8,,,
ADCStuCreditAttempted,Numeric,8,,,
ADCStuCreditCompleted,Numeric,8,,,
ADCStuCummulativeGPA,Numeric,8,,,
ADCStuProgramGPA,Numeric,8,,,
ADCStuHighSchoolCode,Character,10,,,
ADCStuHighSchoolName,Character,25,,,
ADCStuHighSchoolStartDate,Character,10,,,
ADCStuHighSchoolEndDate,Character,10,,,
ADCStuHighSchoolGraduationType,Character,3,,,
ADCStuHighSchoolTranscriptType,Character,4,,,
ADCStuHighSchoolTranscriptDate,Character,10,,,
ADCStuHighSchoolTranscriptStatus,Character,3,,,
ADCStuHighSchoolType,Character,4,,,
ADCStuHighSchoolGPA,Numeric,8,,,
ADCStuInmateFlag,Character,3,,,
ADCStuEconDisAdvFlag,Character,3,,,
ADCStuSingleParentFlag,Character,3,,,
ADCStuHeadHouseholdFlag,Character,3,,,
ADCStuLimitEnglishFlag,Character,3,,,
ADCStuHighSchoolTrack,Character,4,,,
ADCStuEduEntryLvl,Character,3,,,
ADCStuEduLvl,Character,3,,,
ADCStuFtrDegLvl,Character,3,,,
ADCStuMtrDegLvl,Character,3,,,
ADCStuPrimaryProgramCode,Character,12,,,
ADCStuCURPriProgTitle,Character,39,,,
ADCStuCURPriProgAdmitStatus,Character,3,,,
ADCStuCURPriProgCatalogYear,Character,6,,,
ADCStuCURPriProgCurStatus,Character,3,,,
ADCStuCURPriProgCurStatusDate,Character,10,,,
ADCStuCURPriProgEndDate,Character,8,,,
ADCStuCURPriProgStartDate,Character,10,,,
ADCStuCURPriProgDept,Character,6,,,
ADCStuCURPriProgCode,Character,12,,,
ADCStuCCEPriProgCode,Character,12,,,
ADCStuCCEPriProgTitle,Character,39,,,
ADCStuCCEPriProgCCECurStatus,Character,3,,,
ADCStuCCEPriProgCCECurStatusDate,Character,10,,,
ADCStuCCEPriProgEndDate,Character,8,,,
ADCStuCCEPriProgStartDate,Character,10,,,
ADCStuCCEPriProgDept,Character,6,,,
ADCStuBSPPriProgCode,Character,12,,,
ADCStuBSPPriProgTitle,Character,39,,,
ADCStuBSPPriProgCurStatus,Character,3,,,
ADCStuBSPPriProgCurStatusDate,Character,10,,,
ADCStuBSPPriProgEndDate,Character,8,,,
ADCStuBSPPriProgStartDate,Character,10,,,
ADCStuBSPPriProgDept,Character,6,,,
ADCStuCurrentType,Character,6,,,
ADCStuFirstCUProgram,Character,12,,,
ADCStuEdGoals01-25,Character,3,,,
ADCStuActivePrograms01-40,Character,8,,,
StuActiveProgCode01-40,Character,12,,,
StuActiveProgTitle01-40,Character,39,,,
StuActiveProgDept01-40,Character,6,,,
StuActiveProgCurStatus01-40,Character,3,,,
StuActiveProgCurStatusDate01-40,Character,10,,,
StuActiveProgStartDate01-40,Character,10,,,
StuActiveProgEndDate01-40,Character,8,,,
StuPrimaryProgramFlag01-40,Character,3,,,
ADCStuCUTerms01-10,Character,8,,,
ADCStuCETerms01-10,Character,8,,,
FirstCUTerm,Character,7,$7.00 ,,
FirstCETerm,Character,7,$7.00 ,,
ADCClsTerm,Character,8,,,
Class,Character,20,$20.00 ,,
ADCClsID,Character,7,,,
Course,Character,14,$14.00 ,,
ADCClsShortTitle,Character,30,,,
ADCClsPrefix,Character,4,,,
ADCClsNumber,Character,10,,,
ADCClsSection,Character,6,,,
ExitTranslation,Character,15,,,
ADCStuClsStatus,Character,4,,,
ADCStuClsReason,Character,4,,,
ADCStuClsStatusDate,Character,10,,,
ADCStuClsStatusTime,Character,9,,,
ADCClsAcadLevel,Character,4,,,
ADCStuClsRegMethod,Character,7,,,
ADCStuClsVrfdGradeCode,Character,4,,,
ADCStuClsVrfdGradeDate,Character,10,,,
ADCClsStartDate,Character,8,,,
ADCClsEndDate,Character,8,,,
ADCClsCurrentStatus,Character,3,,,
ADCClsIMethod,Character,8,,,
ADCClsPrimaryFlag,Character,1,,,
ADCClsPrimarySection,Character,7,,,
ADCClsCUCredits,Numeric,8,,,
ADCClsCEUnits,Numeric,8,,,
ADCClsCapacity,Numeric,8,,,
ADCClsActiveStuCt,Numeric,8,,,
ClsAvailSeats,Numeric,8,8,,
ADCClsSecAddOn,Character,8,,,
ADCClsSecAddBy,Character,8,,,
ADCClsSecChgOn,Character,8,,,
ADCClsSecChgBy,Character,8,,,
ADCClsSecMeetAddOn,Character,8,,,
ADCClsSecMeetAddBy,Character,8,,,
ADCClsSecMeetChgOn,Character,8,,,
ADCClsSecMeetChgBy,Character,8,,,
ADCClsCredType,Character,8,,,
ADCClsDepts,Character,8,,,
ADCClsFTEContactHrs,Numeric,8,,,
ADCClsFTEStuCt,Numeric,8,,,
ADCClsTotalFTE,Numeric,8,,,
ADCClsFundSources,Character,30,,,
ADCClsLocalIDs,Character,10,,,
ADCClsSynonym,Character,7,,,
ADCClsCensusDates,Character,8,,,
ADCClsContactMeasures,Character,30,,,
ADCClsAcctMethod,Character,1,,,
ADCClsPriFacLName,Character,20,,,
ADCClsPriFacFName,Character,20,,,
ADCClsPriFacMName,Character,1,,,
ClsPriFacLFMName,Character,40,$40.00 ,,
ADCClsCourseLevel001-150,Character,8,,,
ADCClsContactHrs001-150,Numeric,8,,,
ADCClsCourseTypes001-150,Character,8,,,
ADCClsFacultyIDs001-150,Character,8,,,
ADCClsAllFacLName001-150,Character,8,,,
ADCClsMeetDays01-40,Character,8,,,
ADCClsStartTime01-40,Character,8,,,
ADCClsEndTime01-40,Character,8,,,
ADCClsCampus01-40,Character,8,,,
ADCClsBldg01-40,Character,8,,,
ADCClsRoom01-40,Character,8,,,
ADCClsIType01-40,Character,8,,,
ClsFTETier,Character,20,$20.00 ,,
InstCountry,Character,3,$3.00 ,,
InstState,Character,3,$3.00 ,,
InstShortName,Character,10,$10.00 ,,
InstID,Character,3,,,
InstIPEDSUnitID,Character,10,$10.00 ,,
InstOPEID,Character,10,$10.00 ,,
