Name,Type,Length,Format,Informat,Label
,,,,,
InstTerm,Character,10,$10.00 ,,
ADCClsTerm,Character,8,,,
InstDataPoint,Character,10,$10.00 ,,
Class,Character,20,$20.00 ,,
ADCClsID,Character,7,,,
Course,Character,14,$14.00 ,,
ADCClsShortTitle,Character,30,,,
ADCClsPrefix,Character,4,,,
ADCClsNumber,Character,10,,,
ADCClsSection,Character,6,,,
ADCClsStartDate,Character,8,,,
ADCClsEndDate,Character,8,,,
ADCClsCurrentStatus,Character,3,,,
ADCClsIMethod,Character,8,,,
ADCClsPrimaryFlag,Character,1,,,
ADCClsPrimarySection,Character,7,,,
ADCClsCUCredits,Numeric,8,,,
ADCClsCEUnits,Numeric,8,,,
ADCClsCapacity,Numeric,8,,,
ADCClsActiveStuCt,Numeric,8,,,
ClsAvailSeats,Numeric,8,8,,
ADCClsAcadLevel,Character,4,,,
ADCClsSecAddOn,Character,8,,,
ADCClsSecAddBy,Character,8,,,
ADCClsSecChgOn,Character,8,,,
ADCClsSecChgBy,Character,8,,,
ADCClsSecMeetAddOn,Character,8,,,
ADCClsSecMeetAddBy,Character,8,,,
ADCClsSecMeetChgOn,Character,8,,,
ADCClsSecMeetChgBy,Character,8,,,
ADCClsCredType,Character,8,,,
ADCClsDepts,Character,8,,,
ADCClsFTEContactHrs,Numeric,8,,,
ADCClsFTEStuCt,Numeric,8,,,
ADCClsTotalFTE,Numeric,8,,,
ADCClsFundSources,Character,30,,,
ADCClsLocalIDs,Character,10,,,
ADCClsSynonym,Character,7,,,
ADCClsCensusDates,Character,8,,,
ADCClsContactMeasures,Character,30,,,
ADCClsAcctMethod,Character,1,,,
ADCClsPriFacLName,Character,20,,,
ADCClsPriFacFName,Character,20,,,
ADCClsPriFacMName,Character,1,,,
ClsPriFacLFMName,Character,40,$40.00 ,,
ADCClsCourseLevel001-150,Character,8,,,
ADCClsContactHrs001-150,Numeric,8,,,
ADCClsCourseTypes001-150,Character,8,,,
ADCClsFacultyIDs001-150,Character,8,,,
ADCClsAllFacLName001-150,Character,8,,,
ADCClsMeetDays01-40,Character,8,,,
ADCClsStartTime01-40,Character,8,,,
ADCClsEndTime01-40,Character,8,,,
ADCClsCampus01-40,Character,8,,,
ADCClsBldg01-40,Character,8,,,
ADCClsRoom01-40,Character,8,,,
ADCClsIType01-40,Character,8,,,
ClsFTETier,Character,20,$20.00 ,,
InstCountry,Character,3,$3.00 ,,
InstState,Character,3,$3.00 ,,
InstShortName,Character,10,$10.00 ,,
InstID,Character,3,,,
InstIPEDSUnitID,Character,10,$10.00 ,,
InstOPEID,Character,10,$10.00 ,,
