TITLE,PRG CODE,Required Credits,Fully Online,
Associate in Arts,A10100,60,1,1=Offered Fully Online
Associate in Science,A10400,60,1,2=Not Offered Fully Online
Fire Protection Technology,A55240,64,1,
Health Information Technology,A45360,75,1,
Information Technology - Networking Technology,A25590N,72,1,
Information Technology - Cloud & Virtualization Technologies,A25590V,72,1,
Simulation and Game Development,A25450,69,1,
Simulation and Game Development/Game Development,D25450-21,36,1,
Simulation & Game Development/Game Design,D25450-22,39,1,
Simulation & Game Development/Game Programming,D25450-23,39,1,
Simulation & Game Development/3D Modeling,D25450-24,39,1,
Simulation & Game Development/Animation,D25450-25,39,1,
Business Administration Certificate Specialization in Business Management,C25120-C1,18,1,
Business Administration Certificate Specialization in Business Operations,C25120-C5,15,1,
Business Administration Certificate Specialization in Human Resources Generalist,C25120-10,18,1,
Construction Management Technology Certificate Specialization in Green Building,C35190-C7,13,1,
Criminal Justice Technology Certificate Specialization in Basics of Criminal Justice,C55180-C9,12,1,
Criminal Justice Technology Certificate Specialization in Courts and the Law,C55180-C5,12,1,
Criminal Justice Technology Certificate Specialization in Essential Elements of the Criminal Justice System,C55180-C3,15,1,
Fire Protection Technology Certificate Specialization in Basics in Fire Protection,C55240-C2,15,1,
Fire Protection Technology Certificate Specialization in Fire Management,C55240-C1,12,1,
Information Technology Certificate Specialization in Web Development Fundamentals,C2559021,12,1,
Office Administration Certificate Specialization in Office Administration Specialist,C25370-C5,14,1,
Simulation & Game Development Certificate Specialization in Simulation & Game Development Level I,C25450-21,12,1,
Simulation & Game Development Certificate Specialization in Simulation & Game Development Level II,C25450-22,12,1,
Simulation & Game Development Certificate Specialization in Mobile Game Development,C25450-23,12,1,
Associate in Engineering,A10500,60,2,
Associate in Fine Arts,A10200,64,2,
Associate in Fine Arts in Music,A10700,64,2,
Associate in Fine Arts in Theatre,A10800,60,2,
Associate in Fine Arts in Visual Arts,A10600,60,2,
Accounting,A25100,67,2,
Advertising and Graphic Design,A30100,69,2,
"Air Conditioning, Heating, and Refrigeration Technology",A35100,67,2,
Architectural Technology,A40100,67,2,
Associate Degree Nursing,A45110,69,2,
Automotive Systems Technology,A60160,69,2,
Baking and Pastry Arts,A55130,75,2,
Biomedical Equipment Technology,A50100,72,2,
Broadcasting and Production Technology,A30120,67,2,
Business Administration,A25120,68,2,
Cardiovascular Technology,A45170,76,2,
Civil Engineering Technology,A40140,71,2,
Collision Repair & Refinishing Technology,A60130,71,2,
Computer Engineering Technology,A40160,76,2,
Computer-Integrated Machining,A50210,72,2,
Construction Management Technology,A35190,68,2,
Cosmetology,A55140,69,2,
Criminal Justice Technology,A55180,66,2,
Culinary Arts,A55150,74,2,
Dental Hygiene,A45260,76,2,
Diesel and Heavy Equipment Technology,A60460,68,2,
Early Childhood Education,A55220,67,2,
Electrical Engineering Technology,A40180,70,2,
Electrical Systems Technology,A35130,72,2,
Electronics Engineering Technology,A40200,70,2,
Emergency Medical Science,A45340,74,2,
Geomatics Technology,A40420,68,2,
Geospatial Technology,A40220,68,2,
Graphic Arts & Imaging Technology  ,A30180,67,2,
Graphic Arts & Imaging Technology - Flexography Concentration,A3018A,76,2,
Horticulture Technology,A15240,74,2,
Hospitality Management,A25110,74,2,
Human Services Technology,A45380,73,2,
Human Services Technology - Developmental Disabilities Concentration,A4538A,76,2,
Human Services Technology - Substance Abuse Concentration,A4538E,76,2,
Information Technology - IT Business Analysis,A25590B,68,2,
Information Technology - Database Development/Business Intelligence,A25590D,69,2,
Information Technology - Information Assurance & Digital Forensics,A25590F,70,2,
Information Technology - Mobile Apps Development,A25590M,69,2,
Information Technology - Software Development,A25590S,69,2,
information Technology - Web Technologies,A25590W,69,2,
Interior Design,A30220,72,2,
Interpreter Education,A55300,74,2,
Mechanical Engineering Technology,A40320,74,2,
Mechatronics Engineering Technology,A40350,68,2,
Medical Assisting,A45400,70,2,
Medical Laboratory Technology,A45420,75,2,
Medical Office Administration,A25310,74,2,
Nondestructive Examination Technology,A50350,73,2,
Occupational Therapy Assistant,A45500,76,2,
Office Administration  ,A25370,74,2,
Office Administration - Legal Concentration,A2537A,74,2,
Paralegal Technology,A25380,71,2,
Pharmacy Technology,A45580,75,2,
Physical Therapist Assistant,A45640,75,2,
Respiratory Therapy,A45720,74,2,
Supply Chain Management,A25620,69,2,
Surgical Technology,A45740,73,2,
Sustainability Technologies,A40370,67,2,
Turfgrass Management Technology,A15420,71,2,
Welding Technology,A50420,73,2,
Accounting,D25100-D1,46,2,
"Air Conditioning, Heating and Refrigeration Technology",D35100,44,2,
Architectural Technology/Building Information Modeling (BIM),D40100-D2,44,2,
Automotive Systems Technology,D60160,44,2,
Collision Repair & Refinishing Technology,D60130,47,2,
Computer-Integrated Machining,D50210,43,2,
Cosmetology (CCP only),D55140-D1,47,2,
Dental Assisting,D45240,47,2,
Diesel and Heavy Equipment Technology ,D60460-D1,45,2,
